  (Steiner Minimal Tree:  10 points,  length = 2.191967754394575,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.230217151856018,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.239207932608146,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.056499435133685,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.725807526910481,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.299390747087328,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.021514086451067,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.260488415732733,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.619631190395590,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.965692939667174,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.066594977683530,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.231576023190287,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.044257856765995,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.016449480502203,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.307921238374966,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.017495760009691,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.521390058962011,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.179229314328764,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.101565681055786,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.593832432602565,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.089714079628783,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.097699325016855,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.883035036569035,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.908253800096843,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.840488127241865,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.708172998232205,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.994207399272904,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.129347106153325,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.293801747565773,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.941652912345695,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.476060191509306,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.869405727061961,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.583350059276779,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.056343931826782,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.083469525762868,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.244320044252202,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.149351807540825,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.157206710628581,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.188959631157256,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.701344192012820,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.811573865322409,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.765714496967616,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.865388326649282,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.705339599510494,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.826214372196722,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.622822428226775,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.121716103390238,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.077166803280382,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.386613466212434,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.019584339380255,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.820417662473318,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.221218189426960,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.717032742339813,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.461412464255494,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.176620379735337,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.914248271525263,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.951167388888138,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.201695682270378,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.767287747057571,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.363433057014560,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.076796444372853,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.060273761664347,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.216790851203137,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.142992224068565,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.359114330119681,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.107140685123846,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.308927264786815,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.945148063095038,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.272657319168454,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.694801450013059,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.480823101858021,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.863985145792928,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.820523240048560,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.193777323071539,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.175957865313983,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.547956594956246,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.245003735098546,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.280622560250076,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.149252170599279,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.648224157269427,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.262541765991949,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.714651981056477,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.963668504232930,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.080319051744008,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.748673397716306,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.248856237389055,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.217764121676592,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.129571612837845,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.467041932655733,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.021643244305877,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.887334910630257,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.391991721289398,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.419295052063551,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.963828691383174,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.478364677678740,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.171508863162760,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.642817309155191,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.717997036606953,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.342208017925020,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.091622386582864,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.563197448245437,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.043328081143735,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.951550384729542,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.900554990781888,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.511777293674646,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.902668185252729,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.333578354577230,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.191749309256205,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.755421336610672,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.407963743578595,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.242962135781138,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.917268350286851,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.132822347465941,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.046987747943241,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.720310993266857,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.450993098896471,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.721766519378578,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.951295073613127,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.951473361474879,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.795302912918722,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.207286732593779,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.385544978279980,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.201077124496873,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.761430596317226,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.196010426689869,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.941823251572590,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.034128680285474,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.106488401105701,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.223031725051941,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.211880854810199,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.938952425789014,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.942610227862397,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.052395205767272,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.950750000509155,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.763156109819927,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.862838316560398,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.255364326582690,  0.00 seconds)
